                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.9059,                0.67787,                 1.1623,                0.68898,                0.70199,                 0.7704,                0.47508,                 1.5733,                 1.1296,                 1.8201,             0.00067165,             0.00067165,             0.00067165
                     35,                0.89388,                0.65971,                 1.1544,                0.71349,                0.68118,                 0.7656,                0.49138,                 1.5887,                 1.1286,                 1.8654,              0.0006617,              0.0006617,              0.0006617
                     36,                0.88307,                0.65595,                  1.158,                0.65487,                0.72155,                0.75267,                0.45912,                 1.6072,                 1.1702,                 1.8613,             0.00065175,             0.00065175,             0.00065175
                     37,                0.88944,                0.66136,                 1.1537,                0.69859,                0.60668,                 0.7315,                0.46924,                 1.5898,                 1.1867,                  1.858,              0.0006418,              0.0006418,              0.0006418
                     38,                0.87442,                0.65007,                  1.154,                0.75383,                0.62634,                0.74839,                0.47215,                 1.6027,                 1.1194,                 1.8786,             0.00063185,             0.00063185,             0.00063185
                     39,                0.86768,                0.62625,                 1.1417,                0.72194,                0.62241,                 0.7511,                0.47843,                 1.6038,                 1.1288,                 1.8562,              0.0006219,              0.0006219,              0.0006219
                     40,                0.85795,                0.62063,                 1.1388,                0.73241,                0.62294,                0.72448,                 0.4587,                 1.6259,                 1.1559,                 1.8875,             0.00061195,             0.00061195,             0.00061195
                     41,                0.85403,                0.62208,                  1.135,                0.69502,                 0.6586,                0.73825,                 0.4647,                  1.618,                 1.1628,                 1.9069,               0.000602,               0.000602,               0.000602
                     42,                 0.8329,                 0.6087,                 1.1255,                0.63686,                0.65353,                0.70814,                0.44494,                 1.6018,                 1.1671,                 1.9151,             0.00059205,             0.00059205,             0.00059205
                     43,                0.83638,                0.62045,                 1.1297,                0.57772,                0.72194,                0.74448,                0.47892,                 1.5908,                 1.1839,                 1.8872,              0.0005821,              0.0005821,              0.0005821
                     44,                0.81718,                0.59338,                 1.1184,                0.69745,                0.66246,                0.73509,                 0.4617,                 1.6097,                 1.1608,                 1.9119,             0.00057215,             0.00057215,             0.00057215
                     45,                 0.8345,                 0.6034,                 1.1233,                0.63888,                0.70552,                0.72326,                0.44816,                 1.6308,                 1.1754,                 1.9111,              0.0005622,              0.0005622,              0.0005622
                     46,                0.79646,                0.57624,                 1.1061,                0.62341,                0.69867,                0.70708,                 0.4447,                 1.6118,                 1.1898,                 1.9015,             0.00055225,             0.00055225,             0.00055225
                     47,                0.81406,                  0.583,                 1.1104,                0.63593,                0.64795,                0.68691,                0.43491,                 1.6182,                 1.1731,                 1.9198,              0.0005423,              0.0005423,              0.0005423
                     48,                0.79804,                0.57438,                 1.0995,                0.64429,                0.71253,                0.77004,                0.48595,                 1.6243,                 1.1349,                 1.9358,             0.00053235,             0.00053235,             0.00053235
                     49,                0.80605,                0.58079,                 1.1075,                0.60724,                0.69995,                0.73881,                0.46945,                 1.6481,                 1.1534,                  1.946,              0.0005224,              0.0005224,              0.0005224
                     50,                0.80653,                0.58347,                 1.1115,                0.60642,                0.70734,                0.73344,                0.46131,                  1.622,                 1.1554,                 1.9615,             0.00051245,             0.00051245,             0.00051245
                     51,                0.78166,                0.57112,                 1.1004,                 0.6674,                0.63668,                0.70867,                0.44414,                 1.6354,                 1.1929,                 1.9532,              0.0005025,              0.0005025,              0.0005025
                     52,                0.78294,                0.55264,                 1.0956,                0.62939,                0.68588,                0.73217,                0.46078,                 1.6275,                 1.1397,                 1.9609,             0.00049255,             0.00049255,             0.00049255
                     53,                0.77665,                 0.5573,                 1.0882,                0.64576,                0.72056,                0.75232,                0.47134,                 1.6288,                 1.1436,                 1.9793,              0.0004826,              0.0004826,              0.0004826
                     54,                  0.765,                0.55069,                 1.0857,                0.68455,                0.68887,                0.73238,                0.45896,                 1.6437,                 1.1733,                  1.946,             0.00047265,             0.00047265,             0.00047265
                     55,                0.75378,                0.54417,                  1.084,                0.62312,                0.71615,                0.74125,                0.45886,                 1.6186,                 1.1836,                 1.9392,              0.0004627,              0.0004627,              0.0004627
                     56,                0.75842,                0.53052,                 1.0797,                0.63381,                 0.7068,                0.74025,                0.45656,                 1.6215,                 1.1706,                 1.9707,             0.00045275,             0.00045275,             0.00045275
                     57,                0.75182,                0.53569,                 1.0766,                0.67877,                0.66077,                0.72176,                0.44962,                 1.6319,                 1.1711,                 1.9708,              0.0004428,              0.0004428,              0.0004428
                     58,                0.74666,                0.53694,                 1.0811,                0.65338,                 0.7382,                0.72724,                0.46235,                 1.6278,                 1.1638,                  1.985,             0.00043285,             0.00043285,             0.00043285
                     59,                0.73668,                0.53679,                 1.0763,                0.59858,                0.74428,                0.73444,                0.45636,                 1.6328,                 1.1646,                 1.9857,              0.0004229,              0.0004229,              0.0004229
                     60,                0.73374,                  0.524,                 1.0766,                0.68516,                0.64616,                0.74072,                0.46196,                 1.6227,                 1.1706,                 1.9468,             0.00041295,             0.00041295,             0.00041295
                     61,                0.73968,                0.52517,                 1.0779,                0.71173,                0.64884,                0.73341,                0.45693,                 1.6176,                 1.2111,                 1.9501,               0.000403,               0.000403,               0.000403
                     62,                0.72083,                0.51951,                 1.0699,                0.69604,                0.66685,                0.73034,                 0.4652,                 1.6262,                 1.1669,                 1.9702,             0.00039305,             0.00039305,             0.00039305
                     63,                0.72175,                0.51568,                 1.0674,                0.72414,                0.66973,                0.74302,                0.46158,                 1.6314,                 1.1908,                 1.9746,              0.0003831,              0.0003831,              0.0003831
                     64,                0.71338,                0.50792,                 1.0636,                0.70092,                0.71473,                0.74245,                0.45942,                 1.6355,                 1.2013,                  1.989,             0.00037315,             0.00037315,             0.00037315
                     65,                0.71053,                0.50562,                 1.0649,                0.65694,                0.71754,                0.75423,                0.46825,                 1.6291,                 1.1993,                 1.9894,              0.0003632,              0.0003632,              0.0003632
                     66,                 0.7108,                0.49659,                 1.0563,                0.72968,                0.60744,                0.72474,                0.46049,                 1.6351,                 1.2035,                 1.9871,             0.00035325,             0.00035325,             0.00035325
                     67,                0.69786,                0.49857,                 1.0482,                0.72934,                0.62997,                0.74321,                 0.4735,                 1.6439,                 1.2162,                      2,              0.0003433,              0.0003433,              0.0003433
                     68,                0.70831,                0.49143,                 1.0576,                0.69569,                0.67225,                0.72799,                0.45792,                  1.636,                 1.2092,                 2.0031,             0.00033335,             0.00033335,             0.00033335
                     69,                0.69046,                0.48819,                 1.0509,                 0.6551,                0.69383,                0.74915,                 0.4659,                 1.6229,                 1.2155,                 1.9886,              0.0003234,              0.0003234,              0.0003234
                     70,                 0.6891,                0.47991,                 1.0509,                0.69622,                0.64909,                0.73225,                0.46175,                 1.6156,                 1.1775,                 1.9708,             0.00031345,             0.00031345,             0.00031345
                     71,                0.68028,                0.47672,                 1.0427,                0.73657,                0.63714,                0.72514,                0.46172,                 1.6278,                 1.2218,                 1.9982,              0.0003035,              0.0003035,              0.0003035
                     72,                0.68421,                0.48246,                 1.0491,                0.57449,                0.70544,                0.73055,                0.46352,                 1.6336,                 1.1838,                 2.0254,             0.00029355,             0.00029355,             0.00029355
                     73,                0.68304,                 0.4716,                  1.047,                0.65506,                0.64089,                0.72194,                0.45528,                 1.6398,                 1.1803,                 2.0234,              0.0002836,              0.0002836,              0.0002836
                     74,                0.67153,                0.47898,                  1.039,                0.73303,                0.63198,                0.73084,                0.45895,                 1.6388,                 1.2167,                 2.0061,             0.00027365,             0.00027365,             0.00027365
                     75,                0.67291,                0.46762,                 1.0356,                 0.6895,                0.62228,                0.71752,                  0.444,                 1.6394,                 1.1956,                   2.03,              0.0002637,              0.0002637,              0.0002637
                     76,                0.66133,                0.45954,                 1.0369,                0.71321,                0.60602,                0.72054,                0.45312,                 1.6284,                 1.2034,                  2.018,             0.00025375,             0.00025375,             0.00025375
                     77,                0.67988,                0.47524,                 1.0472,                0.73931,                0.59745,                0.71624,                0.45505,                 1.6457,                  1.226,                 2.0412,              0.0002438,              0.0002438,              0.0002438
                     78,                0.65919,                0.45903,                 1.0309,                0.61531,                0.67603,                0.72041,                0.46304,                 1.6294,                 1.2412,                 2.0138,             0.00023385,             0.00023385,             0.00023385
                     79,                0.66078,                0.47523,                 1.0341,                0.72704,                0.64805,                0.72802,                0.46513,                 1.6271,                 1.2156,                 2.0232,              0.0002239,              0.0002239,              0.0002239
                     80,                0.64878,                0.46172,                 1.0334,                0.77232,                0.60848,                0.72584,                0.46207,                 1.6421,                 1.1913,                 2.0328,             0.00021395,             0.00021395,             0.00021395
                     81,                0.65357,                 0.4664,                 1.0338,                0.75965,                0.63116,                0.72914,                0.45854,                 1.6276,                 1.2025,                 2.0254,               0.000204,               0.000204,               0.000204
                     82,                 0.6457,                0.44794,                 1.0326,                0.60866,                0.70127,                0.72948,                0.45674,                 1.6197,                 1.1711,                 2.0296,             0.00019405,             0.00019405,             0.00019405
                     83,                0.64696,                0.45621,                 1.0302,                0.71612,                0.62131,                0.73317,                0.46088,                 1.6375,                 1.1841,                 2.0314,              0.0001841,              0.0001841,              0.0001841
                     84,                0.64298,                0.45284,                 1.0255,                0.71415,                0.66528,                0.72672,                 0.4576,                 1.6463,                 1.1704,                  2.045,             0.00017415,             0.00017415,             0.00017415
                     85,                0.63737,                0.44491,                 1.0188,                0.66376,                0.69143,                0.72841,                0.46227,                 1.6338,                 1.2011,                 2.0333,              0.0001642,              0.0001642,              0.0001642
